Resort;Latitude;Longitude
N?prava J?chymov - Kru?n? hory;50.415573;12.909117
Obertilliach;50.7292;15.4516
Ostruzna;50.185710;17.046916
P??vrat;49.924389;16.389626
Pa?ez;50.725700;15.461100
Pad?k P??brami;49.670287;14.005138
Paseky nad Jizerou;50.723674;15.391374
Pec Pod Snezkou;50.685236;15.724681
Penkavci vrch;50.695467;15.791037
Pernink;50.361096;12.784524
Polevsko;50.786228;14.533838
Praded Figura Esport Centrum;50.070317;17.240050
Premyslov Ski Centrum;50.106116;17.065379
Pustevny;49.489743;18.259919
Py?n? u Jirkova;50.547622;13.438094
Radvanice;50.556642;16.106737
Ramzova - Ramzovske Sedlo;50.190452;17.069165
Razula;49.368857;18.354645
Ricky v o.h;50.225957;16.460435
Rokytnice nad Jizerou;50.729231;15.450445
Sachrovka;50.726387;0.150000
Sachty - Visoke n. Jizerou;50.693061;15.393577
Ski Bi?u;50.751425;15.282519
Ski Bukov? hora;50.013865;16.695057
Ski Vitkovice - Bila;49.443098;18.457270
Ski are?l Lucifer;50.784933;15.229413
Ski are?l Lu?;50.834154;14.651553
SkiRegion;50.771588;15.426221
Skiare?l Lipno;48.643912;14.223433
Skiservis Udatn?;50.736034;15.443829
Solan Sedlo;49.343547;18.252759
Spindleruv Mlyn;50.726829;15.613940
Starom?stsko;50.164978;16.892078
Stozek Wisla;49.604120;18.833339
Studenov;50.746775;15.441456
TJ Bi?uterie;50.720936;15.165683
Tanvaldsk? ?pi??k;50.751615;15.281832
Telnice;50.727280;13.963900
Torav Nova - Ly?a?sk? are?l ARM?DA;49.543966;18.686255
Trojak;49.353756;17.813564
U ??pa P??chovice;50.743101;15.356588
Ve?k? Javorina;48.856841;17.680220
Velka upa;50.691293;15.768055
Wisla Soszow;49.643830;18.818821
Zacler prkenny dul;50.649232;15.898104
Zadov / Chur??ov;49.071435;13.627090
Zieleniec;50.333497;16.386642
Z?sada;50.697806;15.259458
ly?ova?ky;49.777706;16.917923
?ibeni?n? Vrch Mnichovice;49.938611;14.727895
?pi??k;49.144976;13.229770
Hedeland;55.608552;12.181972
Ansom?gi;58.044230;26.514547
Kuutsemae;58.025900;26.321675
K?tiorg;57.776509;27.138933
Munakas;58.037043;26.511821
Alhovuori;60.499004;24.149666
Ellivuori;61.383333;23.033333
Hasam?ki;61.825377;27.967965
Hervanta;61.464005;23.855615
Hetta Hiihtomaa;68.395294;23.664369
Hiittenharjun Hiihtokeskus;61.295042;22.145861
Himos;61.881702;25.294526
Hirvensalon Hiihtokeskus;60.413178;22.233103
H?k?;62.350833;26.613889
Iso Sy?te;65.622306;27.604866
Joupiska;62.780420;22.807807
Juupavaara;61.882083;24.591085
J?mi;61.778180;22.721687
Kallin Laskettelukeskus;65.824860;24.525604
Kalpalinna;60.927499;24.595798
Kasurila;63.045118;27.707906
Kauniaisten Hiihtokeskus;60.219845;24.702973
Kaustinen;63.541249;23.695965
Kirikeskus - Kiririnteet;66.100894;28.296361
Klaukkalan Tornikeskus;60.365759;24.754160
Kokonniemi;60.383772;25.659936
Koli / Ukko-Koli;63.099264;29.806252
Konka Ski;61.440519;29.329875
Korkeakankaan - Korkeakangas;61.252776;24.083147
Kylpyl?rinne;61.775604;23.020879
K?ykkyri;64.901998;25.563297
Laajavuori;62.256484;25.695237
Lakis;63.108779;23.810493
Lekotinm?ki;62.181520;29.177121
Levi;67.783888;24.860172
Louekallio - Louekeskus;63.916398;24.327292
Luosto;67.145019;26.889105
Maarianvaara;62.849271;28.918934
Meri-Teijo;60.231974;22.938970
Messil?;61.017269;25.555045
Mielakka;60.866936;26.757981
Mustavaara;62.616785;30.128781
Mustavuori;61.495000;23.600000
Olos;67.924167;23.808611
Ounasvaara;66.504080;25.788000
Paavonrinteet;62.711983;25.235939
Paljakka;64.678239;27.941527
Pallas;68.074284;24.058171
Parra;62.433090;21.815198
Peuramaa Laskettelukeskus;60.100970;24.460716
Puijon;62.908354;27.649155
Pukkivuori;62.239132;23.763986
Purnu Hiihtokeskus;61.732268;25.875596
Pyh?;67.013279;27.152687
P??skyvuori;62.433096;28.570726
P?minne;60.098015;23.601763
Riihivuori;62.106220;25.691737
Ruka;66.165166;29.155081
Ruokolahden Freeski;61.290601;28.794341
Ruosniemen Hiihtokeskus;61.507856;21.876526
Ruunarinteet;61.838462;28.848942
R?m?kk?;62.615266;26.833698
Saariselk?;68.417878;27.419128
Salla;66.760243;28.769856
Salomonkallio;61.411482;22.048280
Sappee;61.386634;24.509021
Saukovaara;64.490190;28.246793
Savivuoren Hiihtokeskus;63.089087;25.837955
Serena;60.322980;24.732543
Simpsi?n Hiihtokeskus;62.956404;22.947267
Ski Tornim?ki Oy;61.658594;27.340549
Soinin Vuorenmaa;62.931862;24.171062
Solvalla - Swinghill;60.298254;24.556417
Sotkanrinteet;62.413108;22.221780
Suomu;66.551798;28.008776
Sveitsin Hiihtokeskus;60.632953;24.832144
Sy?tekeskus-Pikku-Sy?te;65.632700;27.694473
Tahko;63.290470;28.026855
Taivalvaara;65.565577;28.198864
Talma;60.397944;25.175187
Ukkohalla;64.741513;28.245850
Uuperinrinteet;60.624222;27.105520
Vattuvuori;62.333364;27.846658
Vehmasrinteet;61.718739;26.300712
Vihti Ski Center;60.371150;24.398420
Vuokatti;64.135550;28.275270
Yll?s;67.614628;24.151194
Abondance;46.277979;6.736639
Abries-Ristolas;44.790069;6.952729
Aiguilles;44.780473;6.876252
Albiez - Montrond;45.209376;6.337566
Alpe du Grand-Serre;45.023886;5.862304
Alpe d?Huez;45.092520;6.071890
Ancelle;44.613800;6.200984
Areches Beaufort;45.691792;6.569996
Artouste;42.894327;-0.388641
Arvieux;44.766699;6.734314
Ascou Pailh?res;42.731178;1.952387
Ast?n;42.809255;-0.505776
Audibergue;43.759346;6.787561
Auris en Oisans;45.056304;6.081963
Auron;44.219134;6.925525
Aussois;45.228243;6.741350
Autrans;45.174442;5.542778
Avoriaz;46.192097;6.773463
Ax 3 Domaines;42.720427;1.839759
Bagenelles - Val d Argent;48.189271;7.110630
Ballon d Alsace;47.801971;6.849803
Bernex;46.360406;6.675205
Bessans;45.359865;6.994171
Beuil;44.085373;6.971437
Bonneval sur Arc;45.371338;7.047198
Bourg d Oueil;42.859109;0.497959
Brameloup;44.578950;3.008574
Brian?on;44.898859;6.627480
Brides-les-Bains;45.452490;6.566469
Bussang;47.884322;6.854755
Camurac;42.798040;1.916435
Candanch?;42.791187;-0.517558
Cauterets - Lys;42.887588;-0.114048
Cauterets - Pont d Espagne;42.850626;-0.140033
Ceillac;44.666703;6.777578
Cerdagne Puigmal 2900;42.424946;1.996212
Chabanon;44.345016;6.295083
Chaillol;44.691663;6.166574
Chalmazel;45.699900;3.847690
Chamonix;45.925340;6.869786
Champagny en Vanoise;45.455560;6.693915
Chamrousse;45.126059;5.879126
Chastreix-Sancy;45.534069;2.774798
Ch?teau Ville Vieille;44.766417;6.804380
Col d Ornon;45.030992;5.980502
Col de Rousset;44.842397;5.422518
Combloux;45.895588;6.641612
Courchevel;45.419901;6.638145
Crest Voland Cohennoz;45.787622;6.522188
Cr?voux;44.534739;6.605069
C??ze;44.518262;5.937135
D?sert d Entremont;45.462960;5.868931
Espace Cambre D?Aze;42.475073;2.100872
Espace Diamant;45.794818;6.545104
Flaine;46.009743;6.706807
Flumet;45.818014;6.514247
Font Romeu - Pyr?n?es 2000;42.519687;2.041740
Font d Urle Chaud Clapier;44.908290;5.333987
Formigu?res;42.614384;2.102591
Gavarnie-G?dre;42.735071;-0.010150
Ghisoni;42.075975;9.149569
Goulier Neige - Montcalm;42.739730;1.514069
Gourette;42.959315;-0.330447
Grand Tourmalet;42.909850;0.177612
Greolieres les Neiges;43.824971;6.970036
Gresse en Vecors;44.902196;5.567393
Guzet;42.780357;1.299553
G?rardmer;48.057101;6.896704
Hautacam;42.973937;-0.009006
Isola 2000;44.184251;7.155541
La Bouloie;47.875210;6.861829
La Chapelle d Abondance;46.277979;6.736639
La Colmiane;44.070875;7.222594
La Croix de Bauzon;44.629739;4.089122
La Feclaz;45.645020;5.983070
La Grave - La Meije;45.044985;6.306466
La Norma;45.202300;6.698766
La Pierre Saint Martin - Arette;42.977927;-0.747587
La Poya;46.018738;6.913073
La Quillane;42.543373;2.120061
La Rosiere 1850;45.626593;6.850484
La Tania;45.432401;6.594651
La Toussuire;45.257161;6.247506
Lac Blanc - le Bonhomme;48.127228;7.091831
Laguiole;44.672780;2.926940
Lans en Vercors;45.114376;5.609131
Larcenaire;47.900962;6.862650
Le Champ du Feu;48.407830;7.253178
Le Col de Porte;45.290201;5.766706
Le Collet d Allevard;45.393497;6.107556
Le Corbier;45.239125;6.269679
Le Gaschney;48.033962;7.045798
Le Granier;45.566666;6.650000
Le Lioran;45.088873;2.747394
Le Markstein;47.927450;7.027057
Le Mont Dore;45.575550;2.803160
Le Mourtis;42.911442;0.769295
Le Reposoir;46.005786;6.535835
Le Revard;45.682735;5.976544
Le Sappey;45.260244;5.777166
Le Schnepfenried;47.986530;7.048340
Le Tanet;48.066667;7.100000
Lelex Crozet;46.299854;5.952437
Les 2 Alpes;45.007530;6.121814
Les 3 Vall?es;45.346937;6.640838
Les 7 Laux;45.273281;6.057262
Les Aillons;45.608021;6.100998
Les Angles;42.587719;2.073669
Les Arcs;45.594882;6.792212
Les Contamines - Hauteluce;45.821220;6.727334
Les Estables;44.904262;4.154120
Les Grands Montets. Argenti?re;45.984138;6.926842
Les Karellis;45.227782;6.406376
Les Menuires;45.322930;6.537571
Les Monts d Olmes;42.844376;1.744327
Les Orres;44.493444;6.558035
Les Rousses;46.485420;6.060168
Les Saisies;45.758323;6.538146
Les Sybelles;45.221475;6.232917
Lispach la Bresse;48.052247;6.944874
Loge des Gardes;46.000000;3.000000
Luchon - Superbagn?res;42.767911;0.577051
Lus / La Jarjatte;44.675569;5.756926
Luz Ardiden;42.884930;-0.060403
Manigod;45.877273;6.403527
Meaudre;45.126752;5.527561
Meg?ve;45.856841;6.618080
Meribel - Mottaret;45.370753;6.582414
Metabief - Mont d Or;46.768689;6.356801
Mijan?s Donezan;42.724538;2.012944
Mont Serein;44.166666;5.283333
Montgenevre;44.936836;6.723117
Montriond;46.198419;6.735027
Monts Jura;46.363348;5.997606
Morillon;46.084752;6.677984
Morzine;46.179049;6.709051
Notre Dame de Bellecombe;45.808449;6.517835
Orcieres Merlette;44.677447;6.316690
Orelle;45.210053;6.534228
Paradiski;45.550182;6.764680
Payoll?;42.943006;0.272749
Peisey Vallandry;45.552356;6.762496
Pelvoux-Vallouise;44.858926;6.472256
Peyragudes;42.788277;0.479974
Piau Engaly;42.784378;0.160714
Plainpalais;45.644715;6.015097
Planche des Belles Filles;47.771123;6.775108
Portes du Soleil;46.185974;6.744746
Port? Puymorens;42.548041;1.830345
Pralognan la Vanoise;45.381142;6.721651
Praloup;44.365133;6.603302
Praz de Lys Sommand;46.147525;6.579944
Praz sur Arly;45.837621;6.570472
Puy St. Vincent;44.826633;6.495313
Puyvalador-Rieutort;42.646717;2.120122
Queyras;44.734117;6.813859
Regisland;47.874558;7.028828
Risoul;44.622091;6.624642
Roubion;44.082168;7.040058
Rouge Gazon;47.844065;6.864538
R?allon;44.578219;6.358967
Saint Bernard du Touvet / Col de Marcieu;45.354612;5.916679
Saint Colomban des Villards;45.293728;6.226501
Saint Francois Longchamp;45.408070;6.346927
Saint Gervais Mont-Blanc;45.892155;6.711907
Saint Hilaire du Touvet;45.316419;5.887876
Saint Hugues;45.290201;5.766706
Saint Jean Montclar;44.409250;6.352745
Saint Jean d Aulps;46.238598;6.691123
Saint Jean d Arves;45.207862;6.273031
Saint Lary;42.812277;0.297231
Saint Martin de Belleville;45.379804;6.504829
Saint Maurice sur Moselle;47.859224;6.824279
Saint Pierre Chartreuse / Le Planolet;45.342056;5.813893
Saint Sorlin d Arves;45.221475;6.232917
Saint Urcize;44.697723;3.004955
Saint V?ran;44.699479;6.867880
Saint-L?ger Les M?l?zes;44.650113;6.228173
Sainte Anne La Condamine;44.467405;6.718673
Sainte Foy Tarentaise;45.590233;6.883835
Samoens;46.083449;6.727400
Sauze Supersauze;44.353117;6.686547
Serre Chevalier;44.919408;6.556063
Serre Eyraud;44.672115;6.290307
St. Jean de Sixt;45.922833;6.411720
Station de Vergio;42.286561;8.892847
Super Besse;45.508210;2.859924
Superdevoluy;44.677413;5.928046
Thollon les Memises;46.388949;6.701585
Tignes;45.479873;6.907654
Turini-Camp d Argent;43.989670;7.376014
Val Cenis;45.285563;6.882770
Val D Ese;41.998892;9.125203
Val Louron;42.793201;0.386148
Val Thorens;45.296733;6.582174
Val d Allos;44.236834;6.615057
Val d Isere;45.448724;6.980346
Valberg;44.091285;6.929000
Valdrome;44.504013;5.571117
Valfrejus;45.175590;6.655371
Valloire;45.164164;6.429483
Valmeinier;45.184428;6.481067
Valmorel;45.461706;6.442443
Vars;44.566386;6.677971
Vaujany;45.157609;6.076772
Ventron;47.920300;6.860556
Villard de Lans - Corren?on;45.044169;5.560061
Villaroger;45.590438;6.874223
la Bresse - Hohneck;48.033333;7.016667
la Clusaz;45.907311;6.428008
la Plagne;45.510678;6.680374
le Grand Bornand;45.942905;6.422298
les Carroz;45.690177;6.562752
les Gets;46.156812;6.668983
les Houches;45.890084;6.798265
Kaimaktsalan;40.967780;21.801767
Kozuf;41.178955;22.200095
Osogovo;42.166620;22.499972
Popova ?apka;42.014417;20.868144
Zare Lazarevski - Mavrovo;41.636116;20.717403
Bakuriani;41.754929;43.520451
Gudauri;42.477500;44.474450
?esk? Ji?et?n;50.706540;13.542229
Aalen Osthalb;48.819200;10.078340
Adelharz-Kranzegg am Gr?nten;47.566874;10.317018
Albuch Skilift;48.706119;10.161711
Alpsee Bergwelt;47.553650;10.143551
Altastenberg;51.189386;8.465678
Arber (Javor);49.121227;13.142031
Arber-Zwiesel;49.117846;13.137538
Arnsberg;50.399977;9.960062
Arrach/Eck;49.162940;12.989966
Arzberg;50.053146;12.202173
Aschau/Sachrang;47.690071;12.262974
Bad T?tz/Blomberg;47.735117;11.505984
Bad-Kohlgrub;47.656380;11.049605
Belchenland;47.821627;7.847843
Berchtesgadener;47.628456;12.999889
Bernau im Schwarzwald;47.803033;8.041422
Birkenholzlift Heinersreuth;50.245534;11.579148
Bocksberg;51.856857;10.357031
Brauneck Lenggries;47.669983;11.532327
Brennberglift Etzelwang;49.522092;11.581278
Brotjacklriegellift;48.819524;13.211263
Buchenberg;47.697874;10.245370
Buchenberg Buching;47.615817;10.818465
Dottingen;48.437501;9.451614
Duerrnberg;47.647961;13.086499
Eschenberg;51.247142;8.527372
Ettel;50.765558;8.956769
Eulenloch Skilift;48.783206;8.646595
Fahlenscheid;51.057319;7.945753
Feldberg;47.860671;8.036265
Feuerberg;50.349803;9.948103
Fischen;47.457826;10.261658
Fischzuchtlift Haselbach;49.003249;12.697860
Flecklift;50.002246;11.803203
Frankenlift;50.453155;11.531931
Garmisch - Partenkirchen;47.498084;11.059568
Gehlberg;50.674426;10.793090
Gehrenlift Bischofsgr?n;50.052890;11.788310
Geisskopf;48.917018;13.048387
Gelenau;50.710312;12.976448
Gohrersberg;47.725467;10.197972
Goldlauter-Heidersbachunter - Gr. Beerberg;50.656548;10.743341
Grainau;47.456052;10.991518
Grasgehren;47.441059;10.176244
Greising;48.846761;13.057201
Grosse Sonnenberg;51.709215;10.523949
Grunten;47.566219;10.315004
G?tschen;47.647519;12.936675
Halde Westerheim;48.508003;9.619536
Hochfelln;47.764916;12.557743
Hochgrat;47.520086;10.038729
Hochschwarzeck;47.628154;12.918528
Hofsgrund;47.902284;7.890178
Hoher Bogen;49.240725;12.952283
Holzau;48.341458;12.905597
Hopfen;47.572792;9.976915
Hornbahn;47.486475;10.366747
Hunau;51.246185;8.393308
Hundseck;48.646152;8.232043
H?dlekoepfle;47.874926;7.910981
H?rnerbahn;47.462190;10.220203
H?ndle;47.551256;10.052135
Inmendstadt mittag;47.547395;10.210496
Jennerbahn;47.587932;13.008024
Kaltenbronn;48.706390;8.433471
Kampenwand;47.764057;12.351419
Kandel;49.081814;8.192736
Karwendel;47.428840;11.286013
Kessel;47.762337;12.723912
Klausenlift;49.969048;11.848184
Kornberg;50.183725;12.029889
Krammeregg;47.572038;10.305385
Kreuthlift Bad Oberdorf;47.499703;10.365470
Kreuzberg;50.373502;9.979145
Laichingen;48.481155;9.658940
Lierneux;50.646670;6.626162
L??nitz - L?ssnitz;50.620603;12.734247
Maiergschwendt;47.754798;12.629239
Matthias - Schmidt Berg;51.706858;10.519994
Mehliskopf;48.656506;8.240302
Mittenwald;47.446149;11.232117
Mitterdorf;48.886988;13.647337
Muggendorf;49.797264;11.268363
Nebelhorn;47.412534;10.335474
Nesselwang;47.612078;10.502664
Oberammergau;47.588545;11.040561
Oberaudorf;47.646186;12.165581
Oberhof;50.709801;10.716018
Oberjoch;47.515742;10.405525
Obersalzbergbahn;47.621141;13.021017
Ochsenkopf im Fichtelgebirge;50.015266;11.835861
Ofterschwang;47.499180;10.229317
Osternohe;49.590285;11.375439
Ovifat;50.646670;6.626162
Pfronten breiten;47.549217;10.552210
Pfronten steinach;47.557210;10.547989
Postwiese;51.162436;8.487525
Pr?ller;49.015715;12.814000
Rossfeld;47.613596;13.067916
Ruhenstein;48.560917;8.221711
Ruhpolding;47.736717;12.634458
Sankt Englmar;49.007517;12.824385
Schanze;51.130522;8.374362
Schindelberg;47.525479;10.006394
Schloppach Lift;50.022409;12.330621
Schonach;48.142610;8.199592
Schulenberg;51.847429;10.431691
Schwarzenbach am Wald;50.283057;11.623785
Schwebe;51.736500;11.012700
Schw?rzenlifte;47.700881;10.189789
Silberbergbahn;49.061225;13.120736
Simmersfeld;48.620880;8.517840
Skiarena Silbersattel;50.436325;11.135303
"Skilift """"EisZeit"""" Heubach";50.512717;10.923758
Skilift Altenberg;50.762565;13.752782
Skilift Am Apelsberg;50.502975;11.133106
Skilift Am Crux in Vesser;50.596134;10.790278
Skilift Am Datenberg Tabarz;50.873646;10.510081
Skilift Am Lindenberg Ilmenau;50.673222;10.902505
Skilift Am Pappenheimer Berg;50.487528;11.173331
Skilift Am Petersberg;50.475601;11.071408
Skilift Am Seimberg Brotterode;50.818227;10.445768
Skilift Burgbernheim;49.444620;10.303513
Skilift Donnstetten;48.514956;9.560251
Skilift Eisenberg;50.893916;9.522251
Skilift Entenberg;49.447791;11.367699
Skilift Geitau;47.690490;11.962983
Skilift Genkingen;48.409922;9.173318
Skilift Hasslach;50.397684;11.380943
Skilift Hohenberg;49.020169;10.032390
Skilift Hohes Gras;51.301722;9.347938
Skilift Inselsberg Tabarz;50.874723;10.515134
Skilift Latta;50.051526;11.809931
Skilift Lautlingen;48.253769;9.030858
Skilift Meissner;51.204947;9.848664
Skilift Neubau;50.011702;11.837295
Skilift Neustadt/Rstg;50.581748;10.934137
Skilift Pfeffingen;48.252295;8.961845
Skilift Rehefeld-Zaunhaus;50.729660;13.696456
Skilift Rothenberg;49.555865;11.356262
Skilift Salzwinkel;48.455292;9.914964
Skilift Schellerau;50.763458;13.755028
Skilift Schlossberg;48.085233;8.329268
Skilift Spies;49.683417;11.418950
Skilift Tannenberg;49.930207;11.859656
Skilift Truchtelfingen;48.238389;9.016413
Skilift am Ersteberg Masserberg;50.522663;10.966411
Skilift am Rudletzholzer Hang;49.119879;11.129033
Skilift am Wartberg;50.176599;12.185354
Skilift im Heum?derntal - Treuchtlingen;48.959049;10.889310
Skilifte Hempelsberg und Geiersberg;50.001948;11.805388
Skilifte Herchenhain;50.478825;9.271821
Skilifte Hoherodskopf;50.510145;9.223469
Skilifte Taufstein;50.516766;9.238708
Skilifte Treffelhausen;48.699911;9.905898
Skilifte Wasserkuppe;50.500521;9.942296
Skilifte Wiesensteig;48.578136;9.617485
Skilifte wasserkuppe;50.502391;9.945314
Skipiste Heibek;51.630743;10.466232
Skizentrum Ludwigsstadt;50.482738;11.384256
Skizentrum Pfulb;48.537938;9.532208
Skizentrum Thoma;47.908606;8.084900
Spieserlifte Unterjoch;47.536601;10.412338
Spitzingsee;47.664116;11.889210
St. Blasien - Menzenschwand;47.758951;8.127836
Steibis;47.526683;10.021370
Steinberg;48.821379;13.192279
Sternrodt;51.317953;8.549169
Stollenbach;47.902707;7.980452
Sudelfeld;47.676352;12.051872
Tegelberg;47.571662;10.757155
Tettauer Skiliftbetriebe;50.449326;11.276620
Todtmoos;47.760926;7.978272
Todtnauer;47.850992;7.939861
Torfhaus / Oberharz;51.801922;10.536906
Unterstmatt;48.628058;8.206015
Vesser - Adlersberg;50.591492;10.766505
Vitales Land-Tirol Allg?u;47.557029;10.622380
WSV Ebingen;48.207190;8.994450
Waldau;47.973129;8.146933
Wallberg;47.668989;11.779580
Wendelstein;47.701356;12.009220
Westernberg;47.764487;12.636451
Wildewiese;51.240469;7.998603
Willingen;50.667139;8.087128
Winterberg;51.193422;8.533303
Wurmberg;51.756653;10.618733
Zueschen;51.152647;8.561867
Zugspitze;47.439595;11.047264
3-5 Pigadia;40.641573;21.967093
Chrysso Elafi;40.550000;22.016667
Elatohori;40.312946;22.256025
Falakro;41.294722;24.095000
Kalavrita;38.006966;22.197321
Karakoli;39.773233;21.176338
Karpenissi;38.942133;21.806636
Lailias;41.147636;23.573227
Mainalo;37.650781;22.263319
Paggaio;40.909650;24.096875
Parnassos;38.565561;22.585417
Pertouli;39.540717;21.466108
Pilio;39.400000;23.033333
Profitis Ilias;39.785045;21.158950
Seli (Vermio);40.550000;22.016667
Vasilitsa;40.033333;21.083333
Vigla - Pisoderi;40.766538;21.254100
Vitsi;40.603333;21.320299
Vrissopoules (Opympos);40.090000;22.350000
Ammassalik - Tasiilaq;65.666667;-37.333333
Sisorarfiit;64.189216;-51.660861
Solbakken Skilift;66.937471;-53.532590
Ajka;47.081839;17.549094
Bodajk;47.319136;18.221239
B?nk?t S?klub;48.154650;20.497189
Dobogoko;47.720908;18.906881
Dunak?ml?d;46.658756;18.863742
Epleny;47.212489;17.929878
Galyatet?;47.915819;19.918542
K?kestet?;47.872478;20.006269
M?traszentimre;47.912163;19.869689
M?traszentistv?n;47.924269;19.868422
M?traszentl?szl?;47.922817;19.884133
Nagy-Hideg-hegy;47.930733;18.925489
Salg?tarj?n;48.125268;19.893703
Sopron;47.663644;16.572203
Szilv?sv?rad;48.098134;20.393130
S?toralja?jhely;48.405403;21.634961
S?r;47.366844;18.022992
Tokaj;48.124417;21.382347
Visegr?d;47.799678;18.990847
Zebeg?ny;47.838875;18.894156
Bl?fj?ll;63.800000;-19.166667
Dalvik;65.969749;-18.546664
Hlidarfjall Akureyri;64.633333;-14.666667
H?sav?k;65.404068;-13.698110
Isafjordur;66.066667;-23.233333
Oddsskar?;65.037524;-14.197941
Olafsfjordur;66.066276;-18.652028
Siglufjordur;66.116667;-18.900000
Sk?lafell;64.240534;-21.462361
Snaefellsjokull;64.809788;-23.755401
Stafdalur;65.245208;-14.043961
Tindast?l;65.778688;-19.765584
Auli;30.529182;79.566529
Gulmarg;34.049999;74.379997
Narkanda;31.248243;77.435929
Patnitop;33.090554;75.326871
Ab Ali;35.769993;51.990575
Darbandsar;36.021034;51.476936
Dizin;36.049536;51.416523
Sepidan Ski Resort;30.269998;52.020013
Shemshak;36.016667;51.500000
Tochal;35.885285;51.405966
Mount Hermon;33.261539;35.740435
Abetone;44.145154;10.665008
Adamello Ski;46.257046;10.506898
Alagna Valsesia;45.854245;7.937364
Alba - Ciampac;46.465887;11.781464
Alpe Cermis - Cavalese;46.290172;11.460538
Alpe Devero;46.314347;8.260810
Alpe di Siusi - Seiser Alm;46.541111;11.644722
Alta Badia;46.554928;11.855815
Altopiano di Asiago;45.874047;11.509225
Aprica;46.132007;10.163034
Arabba;46.496308;11.874000
Argentera;44.396263;6.938113
Artesina;44.248958;7.759823
Auronzo Misurina;46.575622;12.257108
Bardonecchia;45.070473;6.695847
Bellino;44.580537;7.017237
Bielmonte;45.663467;8.083482
Bolognola;42.988969;13.240895
Bormio;46.444165;10.389624
Borno;45.949587;10.199739
Brembo Ski;46.021151;9.781476
Bruncu Spina;40.021714;9.303206
Brusson Palasinaz;45.756969;7.762173
Caldirola;44.727694;9.149865
Camigliatello Silano;39.330000;16.421375
Campitello Matese;41.463214;14.392150
Campo Catino;41.834556;13.336426
Campo Felice;42.211589;13.456469
Campo Imperatore;42.426250;13.530774
Campo Staffi;41.925856;13.337694
Campo Stella;42.558884;12.945571
Campo di Giove;41.994552;14.069924
Canazei;46.476735;11.772458
Capracotta;41.834389;14.265333
Careggine;44.095828;10.315197
Carezza;46.409813;11.574955
Carona;46.024083;9.789957
Casone di Profecchia;44.210558;10.445056
Caspoggio;46.259025;9.862149
Catinaccio;46.419537;11.674556
Cervatto - Oro Nero;45.883052;8.162100
Cervinia;45.934513;7.631203
Cesana Torinese;44.953052;6.793751
Chamois;45.838435;7.622026
Champoluc;45.831623;7.726255
Champorcher;45.624235;7.620673
Chiesa Valmalenco;46.273066;9.854910
Chiomonte - Frais;45.102229;6.993967
Cinque Torri;46.518761;12.038133
Civetta;46.397031;12.099219
Claviere;44.938797;6.750335
Cogne;45.608252;7.356132
Col Rodella;46.496502;11.751380
Colere Ski area 2200;45.975333;10.083926
Colfosco;46.554928;11.855815
Conzorcio Brentonico;45.779602;10.943057
Corno alle Scale;44.119806;10.829827
Corno del Renon;46.576454;11.446476
Cortina d Ampezzo;46.532355;12.173538
Corvara;46.551793;11.871055
Courmayeur;45.811918;6.957687
Crissolo;44.698586;7.158658
Desertetto;44.278778;7.398759
Doganaccia 2000;44.121094;10.774964
Dolomiti Superski;46.554928;11.855815
Domobianca;46.096437;8.239009
Eisacktal - Valle Isarco;46.815598;11.659369
Entracque;44.240588;7.397581
Eremo Monte Carpegna;43.801141;12.320506
Falcade - Passo San Pellegrino;46.349250;11.861987
Folgaria;45.932289;11.195841
Folgarida;46.302500;10.867056
Foppolo;46.042815;9.758611
Forca Canapine;42.755227;13.194473
Forca Canapine;42.755648;13.195333
Forni di Sopra;46.427756;12.572344
Frabosa Soprana;44.288705;7.806230
Frontignano di Ussita;42.919846;13.154442
Gambarie;38.164850;15.839606
Garessio;44.206169;8.015295
Gaver;45.924649;10.455435
Gitschberg Meransen - Maranza;46.815048;11.663740
Gressoney-Saint-Jean;45.759947;7.830477
Gressoney-la-Trinit?;45.775185;7.827759
Haider Alm - Malga San Valentino;46.763864;10.524526
Haunold Baranci;46.730095;12.280609
Hochpustertal - Alta Pusteria;46.728438;12.285410
Innichen - San Candido;46.728438;12.285410
Jochgrim - Oclini;46.352024;11.483760
Jochtal Vals - Valles;46.849815;11.622498
Karfen;45.315385;7.302593
Kaunertaler-gletscher;46.848929;10.733590
Klausberg;46.996020;11.980294
Kronplatz - Plan de Corones;46.738650;11.958259
La Baitina - Druogno;46.135963;8.437204
La Magdeleine;45.811063;7.620169
La Thuile;45.716748;6.948807
La Villa;46.586884;11.905626
Laceno;40.789266;15.097217
Ladurns;46.939052;11.444227
Lagazuoi;46.529958;12.012433
Latemar;46.342190;11.540838
Lavarone;45.937918;11.275742
Limone Piemonte;44.201391;7.576201
Linguaglossa;37.793476;15.038744
Livigno;46.545090;10.141341
Lizzola;46.023690;10.013957
Lorica;39.281692;16.456597
Lurisia Montepigna 2002;44.303700;7.708042
Luson;46.744621;11.761425
Macesnovc;46.491541;13.707328
Macugnaga;45.970779;7.951406
Madonna di Campiglio;46.226259;10.826111
Marilleva;46.302483;10.810163
Marmolada;46.454522;11.868303
Maseben;46.838119;10.642490
Mendola Ruffr?;46.405926;11.206484
Merano 2000;46.669104;11.163986
Moena - Alpe di Lusia;46.378252;11.663398
Monesi di Triora;44.075373;7.745730
Monte Amiata;42.888087;11.624887
Monte Avena/Croce d Aune;46.037193;11.815882
