Resort;Country;Latitude;Longitude
Huishan;China;29.283333;120.800000
Jade Dragon Snow Mountain;China;27.103428;100.193738
Jihua Changshou;China;45.616972;127.251492
Jilin Beishan - Beishan Snow and Ice World;China;43.811483;126.621668
Jindinghu Ski Resort;China;40.381693;116.947969
Jingyuetan;China;43.778642;125.452859
Jinxiangshan;China;36.473716;117.110312
Jundushan Ski Resort;China;40.220619;116.210503
Lian Hua Shan Ski Resort;China;22.973379;113.478996
Lingshan Mountain;China;40.031032;115.457382
Linhai Ski Resort;China;38.987277;121.393680
Longfengshan - Long Fengshan;China;44.783300;127.550000
Longzhu Ski Resort - Erlongshan;China;45.745927;127.403930
Mei Hua Shan;China;47.805452;128.925247
Minghu;China;39.496375;121.800506
Mudanfeng;China;44.477000;129.763000
Mulan (Saihanba);China;30.785236;103.619252
NanShan;China;40.332728;116.858654
Pearl Far East International / Woniuhu;China;50.293148;127.327534
Ping Tian;China;24.808333;114.071944
Pinggu Liyuan;China;40.226659;117.265628
Saibei;China;40.845302;115.371088
Shennongjia Ski Resort;China;31.744970;110.675733
Shijinglong Ski Resort;China;40.522137;115.966243
Shuangfeng Tree Farm;China;43.540043;130.991535
Silk Road International (Sichouzhilu);China;43.443974;87.412881
Songhauhau Qingshan;China;43.752879;126.712373
Songhua Lake Ski Resort;China;43.896289;125.325766
Songhuahu;China;43.685255;126.624186
Suifen River National Forest Park;China;44.373965;130.975041
Taoshan;China;45.767829;131.017864
Tianshan Mountain Ski Resort - Tian Shan;China;42.000000;80.000000
Wanlong Ski Resort;China;40.967861;115.391979
WeiSiTe Happy Town Ski Resort;China;43.841569;87.670398
Wujimi Ski Resort;China;45.209906;127.858690
Wuofo Mountain Ski Resort;China;46.672324;130.036097
Xiling Snow Mountain;China;30.614083;103.174109
XueLianShan Golf Lighted Ski Resort;China;43.848516;87.689105
Xueshijie Ski Resort;China;39.619850;115.865233
Yabuli;China;44.781456;128.450208
Yabuluoni Ski Resort - Yuyang;China;40.079886;117.147378
Yueliang Wan (Moon Bay) Ski Resort;China;45.803260;126.535245
Yunfoshan Ski Resort;China;40.473681;116.874871
Yunju Ski Resort;China;39.598959;115.770879
Yuquan;China;40.75473;111.67431
Yuyang Ski Resort;China;40.079886;117.147378
Begovo Razdolje;Croatia;45.285999;14.900095
Bjelolasica;Croatia;45.238985;15.065499
Mrkopalj - ?elimba?a;Croatia;45.310846;14.842856
Petehovac;Croatia;45.379958;14.821074
Platak;Croatia;45.426923;14.569836
Plitvi?ka Jezera Skilift;Croatia;44.871354;15.630134
Rudnik - Tr??e;Croatia;43.515000;16.857500
Sljeme;Croatia;45.904572;15.946984
Trodos;Cyprus;34.936844;32.864898
?enkovice - Ski are?l Bukov? hora;Czech Republic;50.013865;16.695057
?ern? ???ka;Czech Republic;50.778106;15.330149
?ervenohorsk? sedlo;Czech Republic;50.125213;17.153661
?eka;Czech Republic;49.621372;18.575173
Aldrov ? V?tkovice;Czech Republic;50.682098;15.519700
Bedrichov;Czech Republic;50.793024;15.144825
Belveder ?elezn? Ruda;Czech Republic;49.143004;13.245953
Benecko;Czech Republic;50.660131;15.550850
Bou???k;Czech Republic;50.689441;13.716869
Bo?? Dar;Czech Republic;50.372010;12.912360
Bublava;Czech Republic;50.372736;12.512159
Cerna hora - Janske L?zne;Czech Republic;50.633158;15.768916
Cerny Dul;Czech Republic;50.637288;15.706221
Chotou?;Czech Republic;49.900000;14.516667
Czantoria;Czech Republic;49.666667;18.800000
Desn? Parlament;Czech Republic;50.756690;15.316521
De?tn? v O.h.;Czech Republic;50.299444;16.360868
Dolni morava;Czech Republic;50.130675;16.797369
Doln? Dv?r;Czech Republic;50.655254;15.655822
Harrachov;Czech Republic;50.770196;15.427270
Herlicovice;Czech Republic;50.658956;15.594999
Hora Svat? Kate?iny;Czech Republic;50.605145;13.431548
Horn? Domky;Czech Republic;50.742756;15.491832
Horn? Podlu??;Czech Republic;50.878516;14.556436
Hradi?t?;Czech Republic;49.034747;15.080496
Javorovy vrch;Czech Republic;49.635675;18.631619
Je?t?d;Czech Republic;50.733986;14.997721
Ji?et?n pod Jedlovou;Czech Republic;50.875104;14.574472
Josef?v D?l;Czech Republic;50.781200;15.236307
Kadle??k;Czech Republic;49.677135;15.377292
Kamenec - Jabllonec nad Jizerou;Czech Republic;50.701421;15.423116
Karasin;Czech Republic;49.559394;16.276533
Kare? - Kouty nad Desnou;Czech Republic;50.104660;17.130346
Karolinka;Czech Republic;49.349525;18.252958
Karperky - Kasperske Hory;Czech Republic;49.139567;13.563799
Kaste Pet??kov;Czech Republic;50.202604;17.041000
Ka?persk? Hory;Czech Republic;49.139567;13.563799
Kl?novec;Czech Republic;50.396509;12.968609
Kl?novec jih;Czech Republic;50.409405;12.928594
Kl?ny;Czech Republic;50.628456;13.566034
Ko?enov Rejdice;Czech Republic;50.734349;15.369758
Kocourov;Czech Republic;49.359560;13.383660
Koh?tka - Javorniky;Czech Republic;49.294761;18.231821
Kom??? V?ka;Czech Republic;50.686917;13.855279
Kozinec;Czech Republic;50.622448;15.498237
Kraslice;Czech Republic;50.325788;12.511108
Kubova Hu?;Czech Republic;48.983242;13.771600
Lipno;Czech Republic;48.651896;14.234419
Ly?a?sk? are?l P?sek;Czech Republic;49.306763;14.126797
Ly?a?sk? vlek Filip;Czech Republic;50.730599;15.251650
L?n?;Czech Republic;50.642140;15.215890
Mal? Mor?vka - Karlov;Czech Republic;50.017915;17.292652
Mal? Up?;Czech Republic;50.727686;15.818620
Mari?nsk? L?zn?;Czech Republic;49.967339;12.701769
Markid Trutnov - Ski Resort ?ern? Hora;Czech Republic;50.635047;15.776002
Merkl?n;Czech Republic;50.232472;12.880650
Mezibo??;Czech Republic;50.624841;13.592096
Meziho?? u Chomutova;Czech Republic;50.534789;13.364550
Miroslav;Czech Republic;50.220872;17.125361
Mladkov - Petrovi?ky;Czech Republic;50.107277;16.624543
Mlad? Buky;Czech Republic;50.601122;15.844752
Modr? Hv?zda - Bah?nka;Czech Republic;50.727753;15.471490
Mon?nec - ?esk? Mer?n;Czech Republic;49.544502;14.517370
Nad N?dra??m ?elezn? Ruda;Czech Republic;49.141629;13.230243
Novako;Czech Republic;50.409405;12.928594
Nove mesto na morave;Czech Republic;49.561039;16.073719
Nov? Hamry;Czech Republic;50.360084;12.719316
Nov? Hamry;Czech Republic;50.360084;12.719316
Nov? Hut?;Czech Republic;49.073360;13.632660
N?prava J?chymov - Kru?n? hory;Czech Republic;50.415573;12.909117
Obertilliach;Czech Republic;50.7292;15.4516
Ostruzna;Czech Republic;50.185710;17.046916
P??vrat;Czech Republic;49.924389;16.389626
Pa?ez;Czech Republic;50.725700;15.461100
Pad?k P??brami;Czech Republic;49.670287;14.005138
Paseky nad Jizerou;Czech Republic;50.723674;15.391374
Pec Pod Snezkou;Czech Republic;50.685236;15.724681
Penkavci vrch;Czech Republic;50.695467;15.791037
Pernink;Czech Republic;50.361096;12.784524
Polevsko;Czech Republic;50.786228;14.533838
Praded Figura Esport Centrum;Czech Republic;50.070317;17.240050
Premyslov Ski Centrum;Czech Republic;50.106116;17.065379
Pustevny;Czech Republic;49.489743;18.259919
Py?n? u Jirkova;Czech Republic;50.547622;13.438094
Radvanice;Czech Republic;50.556642;16.106737
Ramzova - Ramzovske Sedlo;Czech Republic;50.190452;17.069165
Razula;Czech Republic;49.368857;18.354645
Ricky v o.h;Czech Republic;50.225957;16.460435
Rokytnice nad Jizerou;Czech Republic;50.729231;15.450445
Sachrovka;Czech Republic;50.726387;0.150000
Sachty - Visoke n. Jizerou;Czech Republic;50.693061;15.393577
Ski Bi?u;Czech Republic;50.751425;15.282519
Ski Bukov? hora;Czech Republic;50.013865;16.695057
Ski Vitkovice - Bila;Czech Republic;49.443098;18.457270
Ski are?l Lucifer;Czech Republic;50.784933;15.229413
Ski are?l Lu?;Czech Republic;50.834154;14.651553
SkiRegion;Czech Republic;50.771588;15.426221
Skiare?l Lipno;Czech Republic;48.643912;14.223433
Skiservis Udatn?;Czech Republic;50.736034;15.443829
Solan Sedlo;Czech Republic;49.343547;18.252759
Spindleruv Mlyn;Czech Republic;50.726829;15.613940
Starom?stsko;Czech Republic;50.164978;16.892078
Stozek Wisla;Czech Republic;49.604120;18.833339
Studenov;Czech Republic;50.746775;15.441456
TJ Bi?uterie;Czech Republic;50.720936;15.165683
Tanvaldsk? ?pi??k;Czech Republic;50.751615;15.281832
Telnice;Czech Republic;50.727280;13.963900
Torav Nova - Ly?a?sk? are?l ARM?DA;Czech Republic;49.543966;18.686255
Trojak;Czech Republic;49.353756;17.813564
U ??pa P??chovice;Czech Republic;50.743101;15.356588
Ve?k? Javorina;Czech Republic;48.856841;17.680220
Velka upa;Czech Republic;50.691293;15.768055
Wisla Soszow;Czech Republic;49.643830;18.818821
Zacler prkenny dul;Czech Republic;50.649232;15.898104
Zadov / Chur??ov;Czech Republic;49.071435;13.627090
Zieleniec;Czech Republic;50.333497;16.386642
Z?sada;Czech Republic;50.697806;15.259458
ly?ova?ky;Czech Republic;49.777706;16.917923
?ibeni?n? Vrch Mnichovice;Czech Republic;49.938611;14.727895
?pi??k;Czech Republic;49.144976;13.229770
Hedeland;Denmark;55.608552;12.181972
Ansom?gi;Estonia;58.044230;26.514547
Kuutsemae;Estonia;58.025900;26.321675
K?tiorg;Estonia;57.776509;27.138933
Munakas;Estonia;58.037043;26.511821
Alhovuori;Finland;60.499004;24.149666
Ellivuori;Finland;61.383333;23.033333
Hasam?ki;Finland;61.825377;27.967965
Hervanta;Finland;61.464005;23.855615
Hetta Hiihtomaa;Finland;68.395294;23.664369
Hiittenharjun Hiihtokeskus;Finland;61.295042;22.145861
Himos;Finland;61.881702;25.294526
Hirvensalon Hiihtokeskus;Finland;60.413178;22.233103
H?k?;Finland;62.350833;26.613889
Iso Sy?te;Finland;65.622306;27.604866
Joupiska;Finland;62.780420;22.807807
Juupavaara;Finland;61.882083;24.591085
J?mi;Finland;61.778180;22.721687
Kallin Laskettelukeskus;Finland;65.824860;24.525604
Kalpalinna;Finland;60.927499;24.595798
Kasurila;Finland;63.045118;27.707906
Kauniaisten Hiihtokeskus;Finland;60.219845;24.702973
Kaustinen;Finland;63.541249;23.695965
Kirikeskus - Kiririnteet;Finland;66.100894;28.296361
Klaukkalan Tornikeskus;Finland;60.365759;24.754160
Kokonniemi;Finland;60.383772;25.659936
Koli / Ukko-Koli;Finland;63.099264;29.806252
Konka Ski;Finland;61.440519;29.329875
Korkeakankaan - Korkeakangas;Finland;61.252776;24.083147
Kylpyl?rinne;Finland;61.775604;23.020879
K?ykkyri;Finland;64.901998;25.563297
Laajavuori;Finland;62.256484;25.695237
Lakis;Finland;63.108779;23.810493
Lekotinm?ki;Finland;62.181520;29.177121
Levi;Finland;67.783888;24.860172
Louekallio - Louekeskus;Finland;63.916398;24.327292
Luosto;Finland;67.145019;26.889105
Maarianvaara;Finland;62.849271;28.918934
Meri-Teijo;Finland;60.231974;22.938970
Messil?;Finland;61.017269;25.555045
Mielakka;Finland;60.866936;26.757981
Mustavaara;Finland;62.616785;30.128781
Mustavuori;Finland;61.495000;23.600000
Olos;Finland;67.924167;23.808611
Ounasvaara;Finland;66.504080;25.788000
Paavonrinteet;Finland;62.711983;25.235939
Paljakka;Finland;64.678239;27.941527
Pallas;Finland;68.074284;24.058171
Parra;Finland;62.433090;21.815198
Peuramaa Laskettelukeskus;Finland;60.100970;24.460716
Puijon;Finland;62.908354;27.649155
Pukkivuori;Finland;62.239132;23.763986
Purnu Hiihtokeskus;Finland;61.732268;25.875596
Pyh?;Finland;67.013279;27.152687
P??skyvuori;Finland;62.433096;28.570726
P?minne;Finland;60.098015;23.601763
Riihivuori;Finland;62.106220;25.691737
Ruka;Finland;66.165166;29.155081
Ruokolahden Freeski;Finland;61.290601;28.794341
Ruosniemen Hiihtokeskus;Finland;61.507856;21.876526
Ruunarinteet;Finland;61.838462;28.848942
R?m?kk?;Finland;62.615266;26.833698
Saariselk?;Finland;68.417878;27.419128
Salla;Finland;66.760243;28.769856
Salomonkallio;Finland;61.411482;22.048280
Sappee;Finland;61.386634;24.509021
Saukovaara;Finland;64.490190;28.246793
Savivuoren Hiihtokeskus;Finland;63.089087;25.837955
Serena;Finland;60.322980;24.732543
Simpsi?n Hiihtokeskus;Finland;62.956404;22.947267
Ski Tornim?ki Oy;Finland;61.658594;27.340549
Soinin Vuorenmaa;Finland;62.931862;24.171062
Solvalla - Swinghill;Finland;60.298254;24.556417
Sotkanrinteet;Finland;62.413108;22.221780
Suomu;Finland;66.551798;28.008776
Sveitsin Hiihtokeskus;Finland;60.632953;24.832144
Sy?tekeskus-Pikku-Sy?te;Finland;65.632700;27.694473
Tahko;Finland;63.290470;28.026855
Taivalvaara;Finland;65.565577;28.198864
Talma;Finland;60.397944;25.175187
Ukkohalla;Finland;64.741513;28.245850
Uuperinrinteet;Finland;60.624222;27.105520
Vattuvuori;Finland;62.333364;27.846658
Vehmasrinteet;Finland;61.718739;26.300712
Vihti Ski Center;Finland;60.371150;24.398420
Vuokatti;Finland;64.135550;28.275270
Yll?s;Finland;67.614628;24.151194
Abondance;France;46.277979;6.736639
Abries-Ristolas;France;44.790069;6.952729
Aiguilles;France;44.780473;6.876252
Albiez - Montrond;France;45.209376;6.337566
Alpe du Grand-Serre;France;45.023886;5.862304
Alpe d?Huez;France;45.092520;6.071890
Ancelle;France;44.613800;6.200984
Areches Beaufort;France;45.691792;6.569996
Artouste;France;42.894327;-0.388641
Arvieux;France;44.766699;6.734314
Ascou Pailh?res;France;42.731178;1.952387
Ast?n;France;42.809255;-0.505776
Audibergue;France;43.759346;6.787561
Auris en Oisans;France;45.056304;6.081963
Auron;France;44.219134;6.925525
Aussois;France;45.228243;6.741350
Autrans;France;45.174442;5.542778
Avoriaz;France;46.192097;6.773463
Ax 3 Domaines;France;42.720427;1.839759
Bagenelles - Val d'Argent;France;48.189271;7.110630
Ballon d'Alsace;France;47.801971;6.849803
Bernex;France;46.360406;6.675205
Bessans;France;45.359865;6.994171
Beuil;France;44.085373;6.971437
Bonneval sur Arc;France;45.371338;7.047198
Bourg d'Oueil;France;42.859109;0.497959
Brameloup;France;44.578950;3.008574
Brian?on;France;44.898859;6.627480
Brides-les-Bains;France;45.452490;6.566469
Bussang;France;47.884322;6.854755
Camurac;France;42.798040;1.916435
Candanch?;France;42.791187;-0.517558
Cauterets - Lys;France;42.887588;-0.114048
Cauterets - Pont d'Espagne;France;42.850626;-0.140033
Ceillac;France;44.666703;6.777578
Cerdagne Puigmal 2900;France;42.424946;1.996212
Chabanon;France;44.345016;6.295083
Chaillol;France;44.691663;6.166574
Chalmazel;France;45.699900;3.847690
Chamonix;France;45.925340;6.869786
Champagny en Vanoise;France;45.455560;6.693915
Chamrousse;France;45.126059;5.879126
Chastreix-Sancy;France;45.534069;2.774798
Ch?teau Ville Vieille;France;44.766417;6.804380
Col d'Ornon;France;45.030992;5.980502
Col de Rousset;France;44.842397;5.422518
Combloux;France;45.895588;6.641612
Courchevel;France;45.419901;6.638145
Crest Voland Cohennoz;France;45.787622;6.522188
Cr?voux;France;44.534739;6.605069
C??ze;France;44.518262;5.937135
D?sert d'Entremont;France;45.462960;5.868931
Espace Cambre D?Aze;France;42.475073;2.100872
Espace Diamant;France;45.794818;6.545104
Flaine;France;46.009743;6.706807
Flumet;France;45.818014;6.514247
Font Romeu - Pyr?n?es 2000;France;42.519687;2.041740
Font d'Urle Chaud Clapier;France;44.908290;5.333987
Formigu?res;France;42.614384;2.102591
Gavarnie-G?dre;France;42.735071;-0.010150
Ghisoni;France;42.075975;9.149569
Goulier Neige - Montcalm;France;42.739730;1.514069
Gourette;France;42.959315;-0.330447
Grand Tourmalet;France;42.909850;0.177612
Greolieres les Neiges;France;43.824971;6.970036
Gresse en Vecors;France;44.902196;5.567393
Guzet;France;42.780357;1.299553
G?rardmer;France;48.057101;6.896704
Hautacam;France;42.973937;-0.009006
Isola 2000;France;44.184251;7.155541
La Bouloie;France;47.875210;6.861829
La Chapelle d Abondance;France;46.277979;6.736639
La Colmiane;France;44.070875;7.222594
La Croix de Bauzon;France;44.629739;4.089122
La Feclaz;France;45.645020;5.983070
La Grave - La Meije;France;45.044985;6.306466
La Norma;France;45.202300;6.698766
La Pierre Saint Martin - Arette;France;42.977927;-0.747587
La Poya;France;46.018738;6.913073
La Quillane;France;42.543373;2.120061
La Rosiere 1850;France;45.626593;6.850484
La Tania;France;45.432401;6.594651
La Toussuire;France;45.257161;6.247506
Lac Blanc - le Bonhomme;France;48.127228;7.091831
Laguiole;France;44.672780;2.926940
Lans en Vercors;France;45.114376;5.609131
Larcenaire;France;47.900962;6.862650
Le Champ du Feu;France;48.407830;7.253178
Le Col de Porte;France;45.290201;5.766706
Le Collet d'Allevard;France;45.393497;6.107556
Le Corbier;France;45.239125;6.269679
Le Gaschney;France;48.033962;7.045798
Le Granier;France;45.566666;6.650000
Le Lioran;France;45.088873;2.747394
Le Markstein;France;47.927450;7.027057
Le Mont Dore;France;45.575550;2.803160
Le Mourtis;France;42.911442;0.769295
Le Reposoir;France;46.005786;6.535835
Le Revard;France;45.682735;5.976544
Le Sappey;France;45.260244;5.777166
Le Schnepfenried;France;47.986530;7.048340
Le Tanet;France;48.066667;7.100000
Lelex Crozet;France;46.299854;5.952437
Les 2 Alpes;France;45.007530;6.121814
Les 3 Vall?es;France;45.346937;6.640838
Les 7 Laux;France;45.273281;6.057262
Les Aillons;France;45.608021;6.100998
Les Angles;France;42.587719;2.073669
Les Arcs;France;45.594882;6.792212
Les Contamines - Hauteluce;France;45.821220;6.727334
Les Estables;France;44.904262;4.154120
Les Grands Montets. Argenti?re;France;45.984138;6.926842
Les Karellis;France;45.227782;6.406376
Les Menuires;France;45.322930;6.537571
Les Monts d'Olmes;France;42.844376;1.744327
Les Orres;France;44.493444;6.558035
Les Rousses;France;46.485420;6.060168
Les Saisies;France;45.758323;6.538146
Les Sybelles;France;45.221475;6.232917
Lispach la Bresse;France;48.052247;6.944874
Loge des Gardes;France;46.000000;3.000000
Luchon - Superbagn?res;France;42.767911;0.577051
Lus / La Jarjatte;France;44.675569;5.756926
Luz Ardiden;France;42.884930;-0.060403
Manigod;France;45.877273;6.403527
Meaudre;France;45.126752;5.527561
Meg?ve;France;45.856841;6.618080
Meribel - Mottaret;France;45.370753;6.582414
Metabief - Mont d'Or;France;46.768689;6.356801
Mijan?s Donezan;France;42.724538;2.012944
Mont Serein;France;44.166666;5.283333
Montgenevre;France;44.936836;6.723117
Montriond;France;46.198419;6.735027
Monts Jura;France;46.363348;5.997606
Morillon;France;46.084752;6.677984
Morzine;France;46.179049;6.709051
Notre Dame de Bellecombe;France;45.808449;6.517835
Orcieres Merlette;France;44.677447;6.316690
Orelle;France;45.210053;6.534228
Paradiski;France;45.550182;6.764680
Payoll?;France;42.943006;0.272749
Peisey Vallandry;France;45.552356;6.762496
Pelvoux-Vallouise;France;44.858926;6.472256
Peyragudes;France;42.788277;0.479974
Piau Engaly;France;42.784378;0.160714
Plainpalais;France;45.644715;6.015097
Planche des Belles Filles;France;47.771123;6.775108
Portes du Soleil;France;46.185974;6.744746
Port? Puymorens;France;42.548041;1.830345
Pralognan la Vanoise;France;45.381142;6.721651
Praloup;France;44.365133;6.603302
Praz de Lys Sommand;France;46.147525;6.579944
Praz sur Arly;France;45.837621;6.570472
Puy St. Vincent;France;44.826633;6.495313
Puyvalador-Rieutort;France;42.646717;2.120122
Queyras;France;44.734117;6.813859
Regisland;France;47.874558;7.028828
Risoul;France;44.622091;6.624642
Roubion;France;44.082168;7.040058
Rouge Gazon;France;47.844065;6.864538
R?allon;France;44.578219;6.358967
Saint Bernard du Touvet / Col de Marcieu;France;45.354612;5.916679
Saint Colomban des Villards;France;45.293728;6.226501
Saint Francois Longchamp;France;45.408070;6.346927
Saint Gervais Mont-Blanc;France;45.892155;6.711907
Saint Hilaire du Touvet;France;45.316419;5.887876
Saint Hugues;France;45.290201;5.766706
Saint Jean Montclar;France;44.409250;6.352745
Saint Jean d Aulps;France;46.238598;6.691123
Saint Jean d'Arves;France;45.207862;6.273031
Saint Lary;France;42.812277;0.297231
Saint Martin de Belleville;France;45.379804;6.504829
Saint Maurice sur Moselle;France;47.859224;6.824279
Saint Pierre Chartreuse / Le Planolet;France;45.342056;5.813893
Saint Sorlin d'Arves;France;45.221475;6.232917
Saint Urcize;France;44.697723;3.004955
Saint V?ran;France;44.699479;6.867880
Saint-L?ger Les M?l?zes;France;44.650113;6.228173
Sainte Anne La Condamine;France;44.467405;6.718673
Sainte Foy Tarentaise;France;45.590233;6.883835
Samoens;France;46.083449;6.727400
Sauze Supersauze;France;44.353117;6.686547
Serre Chevalier;France;44.919408;6.556063
Serre Eyraud;France;44.672115;6.290307
St. Jean de Sixt;France;45.922833;6.411720
Station de Vergio;France;42.286561;8.892847
Super Besse;France;45.508210;2.859924
Superdevoluy;France;44.677413;5.928046
Thollon les Memises;France;46.388949;6.701585
Tignes;France;45.479873;6.907654
Turini-Camp d'Argent;France;43.989670;7.376014
Val Cenis;France;45.285563;6.882770
Val D'Ese;France;41.998892;9.125203
Val Louron;France;42.793201;0.386148
Val Thorens;France;45.296733;6.582174
Val d Allos;France;44.236834;6.615057
Val d Isere;France;45.448724;6.980346
Valberg;France;44.091285;6.929000
Valdrome;France;44.504013;5.571117
Valfrejus;France;45.175590;6.655371
Valloire;France;45.164164;6.429483
Valmeinier;France;45.184428;6.481067
Valmorel;France;45.461706;6.442443
Vars;France;44.566386;6.677971
Vaujany;France;45.157609;6.076772
Ventron;France;47.920300;6.860556
Villard de Lans - Corren?on;France;45.044169;5.560061
Villaroger;France;45.590438;6.874223
la Bresse - Hohneck;France;48.033333;7.016667
la Clusaz;France;45.907311;6.428008
la Plagne;France;45.510678;6.680374
le Grand Bornand;France;45.942905;6.422298
les Carroz;France;45.690177;6.562752
les Gets;France;46.156812;6.668983
les Houches;France;45.890084;6.798265
Kaimaktsalan;FYROM;40.967780;21.801767
Kozuf;FYROM;41.178955;22.200095
Osogovo;FYROM;42.166620;22.499972
Popova ?apka;FYROM;42.014417;20.868144
Zare Lazarevski - Mavrovo;FYROM;41.636116;20.717403
Bakuriani;Georgia;41.754929;43.520451
Gudauri;Georgia;42.477500;44.474450
?esk? Ji?et?n;Germany;50.706540;13.542229
Aalen Osthalb;Germany;48.819200;10.078340
Adelharz-Kranzegg am Gr?nten;Germany;47.566874;10.317018
Albuch Skilift;Germany;48.706119;10.161711
Alpsee Bergwelt;Germany;47.553650;10.143551
Altastenberg;Germany;51.189386;8.465678
Arber (Javor);Germany;49.121227;13.142031
Arber-Zwiesel;Germany;49.117846;13.137538
Arnsberg;Germany;50.399977;9.960062
Arrach/Eck;Germany;49.162940;12.989966
Arzberg;Germany;50.053146;12.202173
Aschau/Sachrang;Germany;47.690071;12.262974
Bad T?tz/Blomberg;Germany;47.735117;11.505984
Bad-Kohlgrub;Germany;47.656380;11.049605
Belchenland;Germany;47.821627;7.847843
Berchtesgadener;Germany;47.628456;12.999889
Bernau im Schwarzwald;Germany;47.803033;8.041422
Birkenholzlift Heinersreuth;Germany;50.245534;11.579148
Bocksberg;Germany;51.856857;10.357031
Brauneck Lenggries;Germany;47.669983;11.532327
Brennberglift Etzelwang;Germany;49.522092;11.581278
Brotjacklriegellift;Germany;48.819524;13.211263
Buchenberg;Germany;47.697874;10.245370
Buchenberg Buching;Germany;47.615817;10.818465
Dottingen;Germany;48.437501;9.451614
Duerrnberg;Germany;47.647961;13.086499
Eschenberg;Germany;51.247142;8.527372
Ettel;Germany;50.765558;8.956769
Eulenloch Skilift;Germany;48.783206;8.646595
Fahlenscheid;Germany;51.057319;7.945753
Feldberg;Germany;47.860671;8.036265
Feuerberg;Germany;50.349803;9.948103
Fischen;Germany;47.457826;10.261658
Fischzuchtlift Haselbach;Germany;49.003249;12.697860
Flecklift;Germany;50.002246;11.803203
Frankenlift;Germany;50.453155;11.531931
Garmisch - Partenkirchen;Germany;47.498084;11.059568
Gehlberg;Germany;50.674426;10.793090
Gehrenlift Bischofsgr?n;Germany;50.052890;11.788310
Geisskopf;Germany;48.917018;13.048387
Gelenau;Germany;50.710312;12.976448
Gohrersberg;Germany;47.725467;10.197972
Goldlauter-Heidersbachunter - Gr. Beerberg;Germany;50.656548;10.743341
Grainau;Germany;47.456052;10.991518
Grasgehren;Germany;47.441059;10.176244
Greising;Germany;48.846761;13.057201
Grosse Sonnenberg;Germany;51.709215;10.523949
Grunten;Germany;47.566219;10.315004
G?tschen;Germany;47.647519;12.936675
Halde Westerheim;Germany;48.508003;9.619536
Hochfelln;Germany;47.764916;12.557743
Hochgrat;Germany;47.520086;10.038729
Hochschwarzeck;Germany;47.628154;12.918528
Hofsgrund;Germany;47.902284;7.890178
Hoher Bogen;Germany;49.240725;12.952283
Holzau;Germany;48.341458;12.905597
Hopfen;Germany;47.572792;9.976915
Hornbahn;Germany;47.486475;10.366747
Hunau;Germany;51.246185;8.393308
Hundseck;Germany;48.646152;8.232043
H?dlekoepfle;Germany;47.874926;7.910981
H?rnerbahn;Germany;47.462190;10.220203
H?ndle;Germany;47.551256;10.052135
Inmendstadt mittag;Germany;47.547395;10.210496
Jennerbahn;Germany;47.587932;13.008024
Kaltenbronn;Germany;48.706390;8.433471
Kampenwand;Germany;47.764057;12.351419
Kandel;Germany;49.081814;8.192736
Karwendel;Germany;47.428840;11.286013
Kessel;Germany;47.762337;12.723912
Klausenlift;Germany;49.969048;11.848184
Kornberg;Germany;50.183725;12.029889
Krammeregg;Germany;47.572038;10.305385
Kreuthlift Bad Oberdorf;Germany;47.499703;10.365470
Kreuzberg;Germany;50.373502;9.979145
Laichingen;Germany;48.481155;9.658940
Lierneux;Germany;50.646670;6.626162
L??nitz - L?ssnitz;Germany;50.620603;12.734247
Maiergschwendt;Germany;47.754798;12.629239
Matthias - Schmidt Berg;Germany;51.706858;10.519994
Mehliskopf;Germany;48.656506;8.240302
Mittenwald;Germany;47.446149;11.232117
Mitterdorf;Germany;48.886988;13.647337
Muggendorf;Germany;49.797264;11.268363
Nebelhorn;Germany;47.412534;10.335474
Nesselwang;Germany;47.612078;10.502664
Oberammergau;Germany;47.588545;11.040561
Oberaudorf;Germany;47.646186;12.165581
Oberhof;Germany;50.709801;10.716018
Oberjoch;Germany;47.515742;10.405525
Obersalzbergbahn;Germany;47.621141;13.021017
Ochsenkopf im Fichtelgebirge;Germany;50.015266;11.835861
Ofterschwang;Germany;47.499180;10.229317
Osternohe;Germany;49.590285;11.375439
Ovifat;Germany;50.646670;6.626162
Pfronten breiten;Germany;47.549217;10.552210
Pfronten steinach;Germany;47.557210;10.547989
Postwiese;Germany;51.162436;8.487525
Pr?ller;Germany;49.015715;12.814000
Rossfeld;Germany;47.613596;13.067916
Ruhenstein;Germany;48.560917;8.221711
Ruhpolding;Germany;47.736717;12.634458
Sankt Englmar;Germany;49.007517;12.824385
Schanze;Germany;51.130522;8.374362
Schindelberg;Germany;47.525479;10.006394
Schloppach Lift;Germany;50.022409;12.330621
Schonach;Germany;48.142610;8.199592
Schulenberg;Germany;51.847429;10.431691
Schwarzenbach am Wald;Germany;50.283057;11.623785
Schwebe;Germany;51.736500;11.012700
Schw?rzenlifte;Germany;47.700881;10.189789
Silberbergbahn;Germany;49.061225;13.120736
Simmersfeld;Germany;48.620880;8.517840
Skiarena Silbersattel;Germany;50.436325;11.135303
"Skilift """"EisZeit"""" Heubach";Germany;50.512717;10.923758
Skilift Altenberg;Germany;50.762565;13.752782
Skilift Am Apelsberg;Germany;50.502975;11.133106
Skilift Am Crux in Vesser;Germany;50.596134;10.790278
Skilift Am Datenberg Tabarz;Germany;50.873646;10.510081
