Resort;Country;Latitude;Longitude
Hochzeiger;Austria;47.149743;10.746739
Hochzillertal Kaltenbach;Austria;47.287728;11.827143
Hohe Salve;Austria;47.465296;12.202424
Hohedirn;Austria;47.905717;14.409213
Hohentauern;Austria;47.424379;14.476369
Hopfgarten - Kelchsau;Austria;47.452920;12.162169
Ifen;Austria;47.354982;10.161931
Ifen Kleinweisertal;Austria;47.354982;10.161931
Ifenblick-Lifte;Austria;47.431236;10.032829
Imst;Austria;47.241981;10.738340
Innerkrems schonfeld kaseralm;Austria;46.971172;13.747491
Innsbruck;Austria;47.268234;11.396542
Innsbruck Nordkette;Austria;47.297444;11.383355
Ischgl;Austria;47.011963;10.291535
Itter;Austria;47.467240;12.157994
Jauerling;Austria;48.334476;15.344042
Joglland - Waldheimat;Austria;47.467549;15.783060
Jungholz;Austria;47.573741;10.447845
Jungholz;Austria;47.573741;10.447845
Kaiserau;Austria;47.525200;14.495173
Kanzelwand;Austria;47.345531;10.131627
Kasberg;Austria;47.830748;14.001416
Katrinseilbahn;Austria;47.703336;13.608419
Katschberg;Austria;47.059409;13.615137
Kelchsau;Austria;47.390131;12.134174
Kirchberg;Austria;47.446695;12.318242
Kitzb?hel;Austria;47.452934;12.222633
Kitzsteinhorn - Kaprun;Austria;47.187969;12.687460
Kleinarl;Austria;47.284031;13.333367
Kleinwalsertal;Austria;47.354372;10.186107
Klippitzt?rl;Austria;46.950535;14.685758
Klostertal Sonnenkopf-Kl?sterle;Austria;47.128315;10.054426
Koenigsberglifte;Austria;47.803331;14.771995
Koralpe;Austria;46.802992;14.945518
Kramsach;Austria;47.447176;11.883575
Krippenstein;Austria;47.529221;13.682988
Kristberg Silbertal;Austria;47.098065;9.977436
Kr?henberg-Lifte;Austria;47.422174;10.039845
K?ssen;Austria;47.659256;12.397238
K?htai;Austria;47.213843;11.024553
Lachtal;Austria;47.256562;14.360469
Lackenhof ?tscher;Austria;47.870029;15.155319
Lammeralm;Austria;47.588075;15.590692
Laterns;Austria;47.257050;9.743770
Lech;Austria;47.208116;10.141698
Lechtaler;Austria;47.272854;10.385082
Leogang;Austria;47.431833;12.748777
Lermoos;Austria;47.398500;10.887500
Leutasch Katzenkopf;Austria;47.367750;11.165238
Lienz Hochstein;Austria;46.805367;12.774919
Lofer;Austria;47.582583;12.687907
Lungau;Austria;47.129219;13.628526
Maiszinken;Austria;47.856380;15.051873
Maria Alm;Austria;47.402082;12.913146
Mariazell B?rgeralpe;Austria;47.775385;15.316828
Maurach am Achensee;Austria;47.423663;11.747484
Mayrhofen;Austria;47.169430;11.861600
Mellau;Austria;47.350307;9.881908
Mieders Hochserles;Austria;47.169112;11.381516
Modriach Winkel;Austria;46.944133;15.079892
Moenichkirchen;Austria;47.516897;16.004876
Molltaler Gletscher;Austria;47.033329;13.008714
Montafon;Austria;47.077967;9.896308
Murau / Kreischberg;Austria;47.081580;14.063284
Murauer Frauenalpe;Austria;47.075352;14.146418
Mutterer Alm;Austria;47.227649;11.377212
Muttersberg;Austria;47.163772;9.829465
M?sern;Austria;47.310922;11.146874
Nauders;Austria;46.891305;10.510144
Nesselwaenge;Austria;47.486459;10.600483
Nesselw?ngle;Austria;47.486706;10.617543
Neustift Elfer Lift;Austria;47.101267;11.279152
Niederalpl;Austria;47.675614;15.492583
